method,budget_kind,budget,n_detected,ppv,tpr,f1,delay,runtime_ms,n_detected_sd,ppv_sd,tpr_sd,f1_sd,delay_sd,runtime_ms_sd
vocd,fwer,1e-06,4.2,1.0,0.7,0.8075757575757574,0.016666666666666666,21.072949888184667,1.1661903789690602,0.0,0.19436506316151,0.14110445889325832,0.049999999999999996,0.920389235259951
vocd,fwer,1e-05,5.4,1.0,0.9,0.9436363636363636,0.12666666666666665,20.632383495103568,0.66332495807108,0.0,0.11055415967851333,0.06425671653480833,0.2184795947756525,0.2140434095132469
vocd,fwer,0.0001,5.9,1.0,0.9833333333333334,0.990909090909091,0.15,20.65796250826679,0.3,0.0,0.04999999999999999,0.02727272727272728,0.2733536577809454,0.28824491761802246
vocd,fwer,0.0003,5.9,1.0,0.9833333333333334,0.990909090909091,0.15,20.549287501489744,0.3,0.0,0.04999999999999999,0.02727272727272728,0.2733536577809454,0.28815403526182065
vocd,fwer,0.001,5.9,1.0,0.9833333333333334,0.990909090909091,0.15,20.67242910270579,0.3,0.0,0.04999999999999999,0.02727272727272728,0.2733536577809454,0.170496365382286
vocd,fwer,0.003,6.0,1.0,1.0,1.0,0.21666666666666665,20.6484290829394,0.0,0.0,0.0,0.0,0.3077697552103231,0.1979482333990235
vocd,fwer,0.01,6.0,1.0,1.0,1.0,0.21666666666666665,20.57072090683505,0.0,0.0,0.0,0.0,0.3077697552103231,0.2254886416871863
vocd,fwer,0.03,6.4,0.9428571428571428,1.0,0.9692307692307691,0.21666666666666665,20.645675098057836,0.4898979485566356,0.06998542122237654,0.0,0.037684457581279696,0.3077697552103231,0.23502713212070836
vocd,fwer,0.1,6.5,0.9285714285714286,1.0,0.9615384615384615,0.21666666666666665,20.733691717032343,0.5,0.07142857142857145,0.0,0.03846153846153849,0.3077697552103231,0.16918113330527848
vocd,fwer,0.3,6.7,0.9035714285714287,1.0,0.9472527472527472,0.21666666666666665,20.72161649703048,0.6403124237432849,0.08459085201662152,0.0,0.04708634128709573,0.3077697552103231,0.19905575982940743
vocd,fwer,0.5,6.7,0.9035714285714287,1.0,0.9472527472527472,0.21666666666666665,20.712179102702066,0.6403124237432849,0.08459085201662152,0.0,0.04708634128709573,0.3077697552103231,0.20984419284237493
vocd,fwer,0.7,6.8,0.8892857142857145,1.0,0.9395604395604396,0.21666666666666665,20.706574810901657,0.6,0.0789762299553428,0.0,0.04402467170112119,0.3077697552103231,0.20278125328720445
bocd,hazard,50.0,10.7,0.4902525252525252,0.8833333333333332,0.6295331465919701,0.7533333333333333,74.65357499895617,1.004987562112089,0.07562346715681498,0.10671873729054747,0.0851607984828352,0.7993330553238327,3.204160797705959
bocd,hazard,100.0,10.1,0.5207323232323231,0.9,0.6582139265962795,0.7533333333333333,73.04310421459377,1.1357816691600546,0.08082926253322577,0.11055415967851333,0.08956982056534904,0.7993330553238327,0.5690552109493094
bocd,hazard,200.0,10.0,0.534621212121212,0.9166666666666667,0.6731345615169144,0.7266666666666668,72.47434178716503,1.2649110640673518,0.0690035083150097,0.11180339887498948,0.07711712978617781,0.7747114158044773,0.18482650684142524
bocd,hazard,300.0,10.0,0.534621212121212,0.9166666666666667,0.6731345615169144,0.7266666666666668,72.70965848583728,1.2649110640673518,0.0690035083150097,0.11180339887498948,0.07711712978617781,0.7747114158044773,0.21234764832930783
bocd,hazard,500.0,10.0,0.534621212121212,0.9166666666666667,0.6731345615169144,0.7266666666666668,72.6246542937588,1.2649110640673518,0.0690035083150097,0.11180339887498948,0.07711712978617781,0.7747114158044773,0.1837573283392328
bocd,hazard,1000.0,9.9,0.5401767676767676,0.9166666666666667,0.6773012281835811,0.7266666666666668,72.75951249757782,1.3,0.06822449562200704,0.11180339887498948,0.07551278276215165,0.7747114158044773,0.35553239803756326
bocd,hazard,2000.0,9.8,0.5457323232323231,0.9,0.6773012281835811,0.71,72.89204990374856,1.32664991614216,0.06697724278374836,0.11055415967851333,0.07551278276215165,0.72969552249932,0.17994107841481657
bocd,hazard,5000.0,9.7,0.5526767676767677,0.9,0.6820631329454858,0.71,74.2261458944995,1.4177446878757827,0.0711084566768121,0.11055415967851333,0.07619042233037325,0.72969552249932,3.142269607090512
dm-bocd,hazard,5000.0,6.7,0.8297619047619047,0.93,0.8741758241758241,1.185,15132.69061249448,0.6403124237432849,0.13719431078424726,0.08621678104251707,0.1092350745878521,1.0696429830140106,278.2096570223403
np-focus,alpha,1e-06,4.6,0.6599999999999999,0.5,0.5672727272727272,1.0333333333333332,17.682899994542822,0.4898979485566356,0.07348469228349536,0.0,0.026721706284907408,0.23333333333333334,1.175191049815543
np-focus,alpha,1e-05,4.7,0.6449999999999999,0.5,0.5618181818181818,1.0333333333333332,17.04787079943344,0.45825756949558405,0.06873863542433761,0.0,0.02499586742703186,0.23333333333333334,0.606353164423068
np-focus,alpha,0.0001,4.7,0.6449999999999999,0.5,0.5618181818181818,1.0333333333333332,16.90055420040153,0.45825756949558405,0.06873863542433761,0.0,0.02499586742703186,0.23333333333333334,1.7062224583195107
np-focus,alpha,0.0003,6.1,0.715952380952381,0.7333333333333333,0.7196736596736597,1.05,16.25547071453184,0.9433981132056604,0.08012214315112427,0.16996731711975951,0.11982096609152286,0.15,0.9031519992144326
np-focus,alpha,0.001,7.7,0.7821428571428571,1.0,0.876923076923077,1.15,16.22079170192592,0.45825756949558405,0.049099025303098266,0.0,0.03021478480190663,0.13844373104863458,0.7313663494736765
np-focus,alpha,0.003,7.7,0.7821428571428571,1.0,0.876923076923077,1.15,17.66049590660259,0.45825756949558405,0.049099025303098266,0.0,0.03021478480190663,0.13844373104863458,1.6317503882198137
np-focus,alpha,0.01,7.7,0.7821428571428571,1.0,0.876923076923077,1.15,17.47287499019876,0.45825756949558405,0.049099025303098266,0.0,0.03021478480190663,0.13844373104863458,1.3763179790167968
np-focus,alpha,0.03,7.7,0.7821428571428571,1.0,0.876923076923077,1.2333333333333334,15.61973750940524,0.45825756949558405,0.049099025303098266,0.0,0.03021478480190663,0.37416573867739417,1.0800454972918332
np-focus,alpha,0.1,7.7,0.7821428571428571,1.0,0.876923076923077,1.2333333333333334,14.80812071240507,0.45825756949558405,0.049099025303098266,0.0,0.03021478480190663,0.37416573867739417,1.5375702577059838
np-focus,alpha,0.3,7.7,0.7821428571428571,1.0,0.876923076923077,1.15,15.203695889795199,0.45825756949558405,0.049099025303098266,0.0,0.03021478480190663,0.13844373104863458,3.040225286301578
np-focus,alpha,0.5,7.7,0.7821428571428571,1.0,0.876923076923077,1.15,14.889941603178158,0.45825756949558405,0.049099025303098266,0.0,0.03021478480190663,0.13844373104863458,1.444427996471191
np-focus,alpha,0.7,7.8,0.7714285714285715,1.0,0.8703296703296705,1.15,14.848891698056832,0.39999999999999997,0.04285714285714284,0.0,0.026373626373626367,0.13844373104863458,1.0919681258130314
r-focus,alpha,1e-06,8.7,0.7051587301587301,1.0,0.825521978021978,1.4928571428571429,6.034637504490092,0.6403124237432849,0.06383957477642035,0.0,0.041862299859167444,0.39094774082276235,0.3810341042063251
r-focus,alpha,1e-05,8.7,0.7051587301587301,1.0,0.825521978021978,1.4928571428571429,5.711958208121359,0.6403124237432849,0.06383957477642035,0.0,0.041862299859167444,0.39094774082276235,0.3255173124286331
r-focus,alpha,0.0001,8.7,0.7051587301587301,1.0,0.825521978021978,1.5261904761904763,5.341004190267995,0.6403124237432849,0.06383957477642035,0.0,0.041862299859167444,0.36053154258300185,0.282297382756498
r-focus,alpha,0.0003,8.8,0.7084920634920635,1.0,0.8278749191984487,1.5166666666666666,5.353295791428536,0.7483314773547882,0.06260093889887283,0.0,0.04101433545886669,0.35794354689872515,0.37599012451158614
r-focus,alpha,0.001,8.8,0.7084920634920635,1.0,0.8278749191984487,1.5333333333333332,5.287566699553281,0.7483314773547882,0.06260093889887283,0.0,0.04101433545886669,0.3449013135663203,0.36968920687000956
r-focus,alpha,0.003,8.8,0.7084920634920635,1.0,0.8278749191984487,1.5333333333333332,5.215587496059015,0.7483314773547882,0.06260093889887283,0.0,0.04101433545886669,0.3449013135663203,0.3595882052340748
r-focus,alpha,0.01,8.8,0.7084920634920635,1.0,0.8278749191984487,1.4833333333333334,5.111104110255837,0.7483314773547882,0.06260093889887283,0.0,0.04101433545886669,0.3731416539031136,0.3369344679277413
r-focus,alpha,0.03,9.0,0.6914141414141415,1.0,0.8167063492063493,1.5976190476190477,5.075691698584706,0.7745966692414834,0.045856805910368365,0.0,0.03139811836296394,0.5262335685866903,0.2664795390797472
r-focus,alpha,0.1,9.8,0.6659090909090909,1.0,0.7982908251019707,1.8714285714285714,5.222125095315278,1.2489995996796797,0.05120786247309452,0.0,0.03789578494781065,0.8216536958587647,0.38425775629677544
r-focus,alpha,0.3,12.6,0.6247985347985348,1.0,0.7677623144119309,2.9617063492063496,6.046529195737094,1.7435595774162693,0.052959496168095886,0.0,0.04038842744153858,0.5673430961733034,0.506955029007798
r-focus,alpha,0.5,13.2,0.6139301874595992,1.0,0.7590143190143191,3.05,5.950016697170213,2.0880613017821097,0.060351161405607395,0.0,0.047487605396160766,0.5677209691084452,0.5221711374056378
r-focus,alpha,0.7,13.5,0.5994613229907347,1.0,0.7481842794886273,3.05,5.998079106211662,2.0615528128088303,0.052960488147602236,0.0,0.0421443155751249,0.5677209691084452,0.5000048545466265
chad,alpha,1e-06,6.0,0.8666666666666668,0.8833333333333334,0.8742424242424244,2.413333333333333,234.04816651018336,0.0,0.1452966314513558,0.15,0.14533612603781773,1.024608326250681,20.629673540462843
chad,alpha,1e-05,6.1,0.9690476190476189,0.9833333333333334,0.9756410256410255,2.876666666666666,213.94284570706077,0.3,0.06213327786047566,0.04999999999999999,0.05268903227701158,0.6491105024912509,6.9686670201049825
chad,alpha,0.0001,6.2,0.9714285714285715,1.0,0.9846153846153847,4.616666666666667,212.38625418045558,0.39999999999999997,0.05714285714285716,0.0,0.030769230769230795,0.40173235977313165,4.272021106249186
chad,alpha,0.0003,6.0,0.9,1.0,0.9454545454545455,5.476666666666667,212.73816240136512,0.0,0.08164965809277258,0.0,0.04453617714151235,0.5763968540279634,2.379757248218378
chad,alpha,0.001,7.0,0.8607142857142855,1.0,0.9241758241758241,1.5333333333333337,177.437845710665,0.4472135954999579,0.05635619227878393,0.0,0.03201934567985379,0.6616477747093069,6.801129087236704
chad,alpha,0.003,8.9,0.6812121212121212,1.0,0.8084453781512604,2.066666666666667,163.35415849462152,0.9433981132056604,0.06693197895746499,0.0,0.048688922617477697,0.2260776661041756,4.4939973359314385
chad,alpha,0.01,11.8,0.5797202797202796,1.0,0.7322222222222223,3.238095238095238,153.81297069834545,0.8717797887081348,0.05818921416143978,0.0,0.046996191072348,0.2210570359701934,2.9500028955528563
chad,alpha,0.03,14.9,0.5190734755440637,1.0,0.6823512140033879,4.069642857142857,122.76251669391058,1.1357816691600546,0.04356152066552507,0.0,0.0368687443948184,0.19223610323702228,7.405339831635725
chad,alpha,0.1,21.7,0.38778044419348767,1.0,0.5581164858500787,4.802222222222222,81.38430820545182,1.1874342087037917,0.03158358567913051,0.0,0.03223166691179979,0.18159869608494728,8.87720778387747
chad,alpha,0.3,35.0,0.308943910025504,1.0,0.4717584403179832,4.593636363636364,40.22730020224117,1.5491933384829668,0.01809813039444011,0.0,0.021136777626815654,0.2477685536914382,4.277890731428726
chad,alpha,0.5,42.7,0.25537861599546224,1.0,0.40646327528680476,4.480808080808082,22.823500103550032,1.1874342087037917,0.019546597597561995,0.0,0.02517271895594889,0.434676874594936,3.0700631192288284
chad,alpha,0.7,46.5,0.24736355226641998,1.0,0.39647994914228873,4.816666666666667,16.05350409517996,0.5,0.011583331516909462,0.0,0.014889331760835418,0.220838206193964,0.9214653977267354
