backend,length,ms,us_per_step,speedup
python,500,35.96895799273625,71.9379159854725,1.0
cpp,500,4.994916002033278,9.989832004066557,7.201113688016852
python,1000,67.04687500314321,67.04687500314321,1.0
cpp,1000,9.630000000470318,9.630000000470318,6.962292315666534
python,2000,127.19120799738448,63.59560399869224,1.0
cpp,2000,16.96891599567607,8.484457997838035,7.495541142981359
python,4000,233.86416700668633,58.46604175167158,1.0
cpp,4000,19.149166997522116,4.787291749380529,12.212759282790115
python,8000,479.9987919977866,59.999848999723326,1.0
cpp,8000,54.41358299867716,6.801697874834645,8.821304636554734
python,16000,956.4088749903021,59.775554686893884,1.0
cpp,16000,113.58595800993498,7.0991223756209365,8.420133014211565
python,32000,1911.71995800687,59.74124868771469,1.0
cpp,32000,223.96641699015163,6.998950530942238,8.53574381239011
